Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
2026-05-20T19:33:01+08:00
Running /Users/yunhaowang/mk-rlwe-prototype/SEAL/build/bin/sealbench
Run on (8 X 24.1203 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 4.03, 5.59, 5.00
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=2048 / log(q)=54 / BFV / EvaluateAddCt/iterations:10                     8.20 us         8.20 us           10
n=2048 / log(q)=54 / BFV / EvaluateAddPt/iterations:10                     26.6 us         23.8 us           10
n=2048 / log(q)=54 / BFV / EvaluateNegate/iterations:10                    5.82 us         5.90 us           10
n=2048 / log(q)=54 / BFV / EvaluateSubCt/iterations:10                     6.88 us         6.90 us           10
n=2048 / log(q)=54 / BFV / EvaluateSubPt/iterations:10                     21.1 us         21.3 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulCt/iterations:10                     1124 us         1023 us           10
n=2048 / log(q)=54 / BFV / EvaluateMulPt/iterations:10                      113 us          111 us           10
n=2048 / log(q)=54 / BFV / EvaluateSquare/iterations:10                     715 us          692 us           10
n=2048 / log(q)=54 / BGV / EncryptSecret/iterations:10                      306 us          292 us           10
n=2048 / log(q)=54 / BGV / EncryptPublic/iterations:10                      516 us          469 us           10
n=2048 / log(q)=54 / BGV / Decrypt/iterations:10                           52.7 us         51.5 us           10
n=2048 / log(q)=54 / BGV / EncodeBatch/iterations:10                       19.6 us         19.6 us           10
n=2048 / log(q)=54 / BGV / DecodeBatch/iterations:10                       29.0 us         28.8 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegate/iterations:10                    8.54 us         7.80 us           10
n=2048 / log(q)=54 / BGV / EvaluateNegateInplace/iterations:10             4.89 us         5.00 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddCt/iterations:10                     10.6 us         9.50 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddCtInplace/iterations:10              6.54 us         6.50 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddPt/iterations:10                     46.6 us         44.5 us           10
n=2048 / log(q)=54 / BGV / EvaluateAddPtInplace/iterations:10              40.2 us         40.3 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulCt/iterations:10                     31.6 us         29.2 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulCtInplace/iterations:10              41.9 us         35.1 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulPt/iterations:10                     51.4 us         50.2 us           10
n=2048 / log(q)=54 / BGV / EvaluateMulPtInplace/iterations:10              48.8 us         47.7 us           10
n=2048 / log(q)=54 / BGV / EvaluateSquare/iterations:10                    21.7 us         21.8 us           10
n=2048 / log(q)=54 / BGV / EvaluateSquareInplace/iterations:10             33.1 us         26.6 us           10
n=2048 / log(q)=54 / BGV / EvaluateToNTTInplace/iterations:10              55.2 us         49.8 us           10
n=2048 / log(q)=54 / BGV / EvaluateFromNTTInplace/iterations:10            34.9 us         34.4 us           10
n=2048 / log(q)=54 / CKKS / EncryptSecret/iterations:10                     274 us          261 us           10
n=2048 / log(q)=54 / CKKS / EncryptPublic/iterations:10                     426 us          408 us           10
n=2048 / log(q)=54 / CKKS / Decrypt/iterations:10                          14.1 us         13.0 us           10
n=2048 / log(q)=54 / CKKS / EncodeDouble/iterations:10                     83.5 us         79.3 us           10
n=2048 / log(q)=54 / CKKS / DecodeDouble/iterations:10                     65.7 us         63.2 us           10
n=2048 / log(q)=54 / CKKS / EvaluateAddCt/iterations:10                    11.5 us         10.2 us           10
n=2048 / log(q)=54 / CKKS / EvaluateAddPt/iterations:10                    7.38 us         6.70 us           10
n=2048 / log(q)=54 / CKKS / EvaluateNegate/iterations:10                   7.84 us         7.50 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSubCt/iterations:10                    9.73 us         8.50 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSubPt/iterations:10                    4.52 us         4.10 us           10
n=2048 / log(q)=54 / CKKS / EvaluateMulCt/iterations:10                    28.9 us         28.0 us           10
n=2048 / log(q)=54 / CKKS / EvaluateMulPt/iterations:10                    14.5 us         13.9 us           10
n=2048 / log(q)=54 / CKKS / EvaluateSquare/iterations:10                   21.5 us         21.4 us           10
n=2048 / log(q)=54 / UTIL / NTTForward/iterations:10                       49.6 us         47.4 us           10
n=2048 / log(q)=54 / UTIL / NTTInverse/iterations:10                       37.2 us         37.3 us           10
n=2048 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                23.2 us         23.0 us           10
n=2048 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                17.2 us         16.8 us           10
