Microsoft SEAL version: 4.1.2
Running precomputations ...
[   2750 MB] Total allocation from the memory pool
Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
2026-05-20T19:33:01+08:00
Running /Users/yunhaowang/mk-rlwe-prototype/SEAL/build/bin/sealbench
Run on (8 X 24.1203 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x8)
Load Average: 4.03, 5.59, 5.00
---------------------------------------------------------------------------------------------------------------
Benchmark                                                                     Time             CPU   Iterations
n=16384 / log(q)=438 / BFV / EvaluateSquare/iterations:10                 41313 us        37516 us           10
n=16384 / log(q)=438 / BFV / EvaluateModSwitchInplace/iterations:10        1260 us         1201 us           10
n=16384 / log(q)=438 / BFV / EvaluateRelinInplace/iterations:10           31417 us        26863 us           10
n=16384 / log(q)=438 / BFV / EvaluateRotateRows/iterations:10             33928 us        30734 us           10
n=16384 / log(q)=438 / BFV / EvaluateRotateCols/iterations:10             31214 us        27652 us           10
n=16384 / log(q)=438 / BGV / EncryptSecret/iterations:10                  15072 us        13647 us           10
n=16384 / log(q)=438 / BGV / EncryptPublic/iterations:10                  24331 us        22332 us           10
n=16384 / log(q)=438 / BGV / Decrypt/iterations:10                         3836 us         3503 us           10
n=16384 / log(q)=438 / BGV / EncodeBatch/iterations:10                      235 us          223 us           10
n=16384 / log(q)=438 / BGV / DecodeBatch/iterations:10                      325 us          301 us           10
n=16384 / log(q)=438 / BGV / EvaluateNegate/iterations:10                   609 us          407 us           10
n=16384 / log(q)=438 / BGV / EvaluateNegateInplace/iterations:10            293 us          282 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddCt/iterations:10                    530 us          485 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddCtInplace/iterations:10             359 us          348 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddPt/iterations:10                   3201 us         3024 us           10
n=16384 / log(q)=438 / BGV / EvaluateAddPtInplace/iterations:10            3102 us         2967 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulCt/iterations:10                   2151 us         1998 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulCtInplace/iterations:10            2150 us         1956 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulPt/iterations:10                   4251 us         3833 us           10
n=16384 / log(q)=438 / BGV / EvaluateMulPtInplace/iterations:10            4204 us         3766 us           10
n=16384 / log(q)=438 / BGV / EvaluateSquare/iterations:10                  2768 us         1894 us           10
n=16384 / log(q)=438 / BGV / EvaluateSquareInplace/iterations:10           1828 us         1728 us           10
n=16384 / log(q)=438 / BGV / EvaluateModSwitchInplace/iterations:10        5672 us         5413 us           10
n=16384 / log(q)=438 / BGV / EvaluateRelinInplace/iterations:10           31119 us        28911 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateRows/iterations:10             40755 us        35032 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateRowsInplace/iterations:10      37544 us        33967 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateCols/iterations:10             45183 us        37699 us           10
n=16384 / log(q)=438 / BGV / EvaluateRotateColsInplace/iterations:10      40051 us        35364 us           10
n=16384 / log(q)=438 / BGV / EvaluateToNTTInplace/iterations:10            5849 us         5224 us           10
n=16384 / log(q)=438 / BGV / EvaluateFromNTTInplace/iterations:10          4599 us         4108 us           10
n=16384 / log(q)=438 / CKKS / EncryptSecret/iterations:10                 13387 us        11953 us           10
n=16384 / log(q)=438 / CKKS / EncryptPublic/iterations:10                 29737 us        22714 us           10
n=16384 / log(q)=438 / CKKS / Decrypt/iterations:10                        2316 us         1371 us           10
n=16384 / log(q)=438 / CKKS / EncodeDouble/iterations:10                   5914 us         4495 us           10
n=16384 / log(q)=438 / CKKS / DecodeDouble/iterations:10                  14913 us        10627 us           10
n=16384 / log(q)=438 / CKKS / EvaluateAddCt/iterations:10                   805 us          614 us           10
n=16384 / log(q)=438 / CKKS / EvaluateAddPt/iterations:10                   495 us          333 us           10
n=16384 / log(q)=438 / CKKS / EvaluateNegate/iterations:10                  564 us          399 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSubCt/iterations:10                   575 us          466 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSubPt/iterations:10                   818 us          290 us           10
n=16384 / log(q)=438 / CKKS / EvaluateMulCt/iterations:10                  3166 us         2751 us           10
n=16384 / log(q)=438 / CKKS / EvaluateMulPt/iterations:10                  1394 us         1214 us           10
n=16384 / log(q)=438 / CKKS / EvaluateSquare/iterations:10                 3954 us         2405 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRescaleInplace/iterations:10         9129 us         6647 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRelinInplace/iterations:10          70092 us        41288 us           10
n=16384 / log(q)=438 / CKKS / EvaluateRotate/iterations:10                53106 us        38962 us           10
n=16384 / log(q)=438 / UTIL / NTTForward/iterations:10                     7446 us         6072 us           10
n=16384 / log(q)=438 / UTIL / NTTInverse/iterations:10                     5000 us         4339 us           10
n=16384 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                394 us          334 us           10
n=16384 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                939 us          328 us           10
n=16384 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            409 us          306 us           10
n=16384 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            407 us          281 us           10
n=32768 / log(q)=881 / KeyGen / Secret/iterations:10                      22029 us        19108 us           10
n=32768 / log(q)=881 / KeyGen / Public/iterations:10                      55925 us        48381 us           10
n=32768 / log(q)=881 / KeyGen / Relin/iterations:10                      928669 us       766279 us           10
n=32768 / log(q)=881 / KeyGen / Galois/iterations:10                    1501355 us       812562 us           10
n=32768 / log(q)=881 / BFV / EncryptSecret/iterations:10                 106726 us        64189 us           10
n=32768 / log(q)=881 / BFV / EncryptPublic/iterations:10                 109577 us        80743 us           10
n=32768 / log(q)=881 / BFV / Decrypt/iterations:10                        46196 us        31710 us           10
n=32768 / log(q)=881 / BFV / EncodeBatch/iterations:10                     1322 us          860 us           10
n=32768 / log(q)=881 / BFV / DecodeBatch/iterations:10                     1412 us         1003 us           10
n=32768 / log(q)=881 / BFV / EvaluateAddCt/iterations:10                   2894 us         2402 us           10
n=32768 / log(q)=881 / BFV / EvaluateAddPt/iterations:10                   6459 us         5573 us           10
n=32768 / log(q)=881 / BFV / EvaluateNegate/iterations:10                  2085 us         1602 us           10
n=32768 / log(q)=881 / BFV / EvaluateSubCt/iterations:10                   2394 us         1953 us           10
n=32768 / log(q)=881 / BFV / EvaluateSubPt/iterations:10                   7290 us         5858 us           10
n=32768 / log(q)=881 / BFV / EvaluateMulCt/iterations:10                 923027 us       442566 us           10
n=32768 / log(q)=881 / BFV / EvaluateMulPt/iterations:10                  76928 us        58020 us           10
n=32768 / log(q)=881 / BFV / EvaluateSquare/iterations:10                391057 us       306668 us           10
n=32768 / log(q)=881 / BFV / EvaluateModSwitchInplace/iterations:10        8817 us         6850 us           10
n=32768 / log(q)=881 / BFV / EvaluateRelinInplace/iterations:10          746863 us       271605 us           10
n=32768 / log(q)=881 / BFV / EvaluateRotateRows/iterations:10            436027 us       274131 us           10
n=32768 / log(q)=881 / BFV / EvaluateRotateCols/iterations:10            695745 us       274333 us           10
n=32768 / log(q)=881 / BGV / EncryptSecret/iterations:10                  97767 us        65660 us           10
n=32768 / log(q)=881 / BGV / EncryptPublic/iterations:10                 151459 us       117139 us           10
n=32768 / log(q)=881 / BGV / Decrypt/iterations:10                        59104 us        23889 us           10
n=32768 / log(q)=881 / BGV / EncodeBatch/iterations:10                     6241 us          937 us           10
n=32768 / log(q)=881 / BGV / DecodeBatch/iterations:10                     6767 us         1040 us           10
n=32768 / log(q)=881 / BGV / EvaluateNegate/iterations:10                  8031 us         2271 us           10
n=32768 / log(q)=881 / BGV / EvaluateNegateInplace/iterations:10           1607 us         1078 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddCt/iterations:10                   2429 us         2041 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddCtInplace/iterations:10            1827 us         1566 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddPt/iterations:10                  22294 us        17558 us           10
n=32768 / log(q)=881 / BGV / EvaluateAddPtInplace/iterations:10           22253 us        17652 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulCt/iterations:10                  16640 us        12062 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulCtInplace/iterations:10           15756 us        10898 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulPt/iterations:10                  25800 us        21396 us           10
n=32768 / log(q)=881 / BGV / EvaluateMulPtInplace/iterations:10           24014 us        20301 us           10
n=32768 / log(q)=881 / BGV / EvaluateSquare/iterations:10                 11054 us         8735 us           10
n=32768 / log(q)=881 / BGV / EvaluateSquareInplace/iterations:10          10309 us         8302 us           10
n=32768 / log(q)=881 / BGV / EvaluateModSwitchInplace/iterations:10      190937 us        35666 us           10
n=32768 / log(q)=881 / BGV / EvaluateRelinInplace/iterations:10          493212 us       270064 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateRows/iterations:10            415666 us       273624 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateRowsInplace/iterations:10     314565 us       234030 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateCols/iterations:10            214063 us       180941 us           10
n=32768 / log(q)=881 / BGV / EvaluateRotateColsInplace/iterations:10     204658 us       179413 us           10
n=32768 / log(q)=881 / BGV / EvaluateToNTTInplace/iterations:10           20469 us        18613 us           10
n=32768 / log(q)=881 / BGV / EvaluateFromNTTInplace/iterations:10         13906 us        13326 us           10
n=32768 / log(q)=881 / CKKS / EncryptSecret/iterations:10                 44741 us        38795 us           10
n=32768 / log(q)=881 / CKKS / EncryptPublic/iterations:10                 73106 us        67172 us           10
n=32768 / log(q)=881 / CKKS / Decrypt/iterations:10                        3495 us         3065 us           10
n=32768 / log(q)=881 / CKKS / EncodeDouble/iterations:10                  14437 us        13199 us           10
n=32768 / log(q)=881 / CKKS / DecodeDouble/iterations:10                  52894 us        45807 us           10
n=32768 / log(q)=881 / CKKS / EvaluateAddCt/iterations:10                  1994 us         1824 us           10
n=32768 / log(q)=881 / CKKS / EvaluateAddPt/iterations:10                   943 us          880 us           10
n=32768 / log(q)=881 / CKKS / EvaluateNegate/iterations:10                 1056 us         1022 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSubCt/iterations:10                  1465 us         1368 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSubPt/iterations:10                   845 us          798 us           10
n=32768 / log(q)=881 / CKKS / EvaluateMulCt/iterations:10                  8675 us         7570 us           10
n=32768 / log(q)=881 / CKKS / EvaluateMulPt/iterations:10                  3528 us         3272 us           10
n=32768 / log(q)=881 / CKKS / EvaluateSquare/iterations:10                 5807 us         5355 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRescaleInplace/iterations:10        18094 us        15431 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRelinInplace/iterations:10         205548 us       179553 us           10
n=32768 / log(q)=881 / CKKS / EvaluateRotate/iterations:10               195320 us       173447 us           10
n=32768 / log(q)=881 / UTIL / NTTForward/iterations:10                    22178 us        18771 us           10
n=32768 / log(q)=881 / UTIL / NTTInverse/iterations:10                    16376 us        15046 us           10
n=32768 / log(q)=0 / UTIL / NTTForwardLowLevel/iterations:10                685 us          629 us           10
n=32768 / log(q)=0 / UTIL / NTTInverseLowLevel/iterations:10                527 us          463 us           10
n=32768 / log(q)=0 / UTIL / NTTForwardLowLevelLazy/iterations:10            468 us          436 us           10
n=32768 / log(q)=0 / UTIL / NTTInverseLowLevelLazy/iterations:10            437 us          421 us           10
[   3103 MB] Total allocation from the memory pool
